"","EUR.USD","EUR.JPY","EUR.NZD","EUR.GBP","EUR.CHF","EUR.AUD","EUR.CAD","Index"
"93",1.14127,129.189234,1.561617,0.883004,1.10187,1.478767,1.453983,92.2561709905211
"94",1.143456,129.157915,1.560036,0.878552,1.104554,1.469166,1.452015,92.1002851688354
"95",1.1468,129.084414,1.561122,0.8755,1.10495,1.464088,1.4503,92.0211627131159
"96",1.147076,129.053704,1.560338,0.875262,1.10514,1.465744,1.450744,92.0295204783203
"97",1.14667,129.099748,1.565221,0.877087,1.104274,1.467822,1.452588,92.1293983057036
"98",1.154471,129.418682,1.571845,0.884473,1.104105,1.460212,1.458854,92.4501523987893
"99",1.152848,129.025142,1.566412,0.884731,1.100784,1.452237,1.454422,92.2207099992276
"100",1.156196,129.512472,1.568898,0.890243,1.103507,1.456035,1.457057,92.5269930910668
"101",1.16495,129.8858,1.56681,0.897081,1.105038,1.47204,1.464013,93.0056999322652
"102",1.166547,129.603738,1.564803,0.897638,1.10305,1.473658,1.462726,92.9756064106262
"103",1.16711,129.675483,1.566518,0.897936,1.103273,1.474961,1.463686,93.0297429833086
"104",1.165104,129.31674,1.56684,0.894656,1.102424,1.468994,1.459212,92.8051223621621
"105",1.165612,129.900309,1.569104,0.894243,1.105782,1.468454,1.457932,92.8963775944164
"106",1.165977,130.287068,1.565339,0.893308,1.112948,1.469914,1.45719,92.9665112778652
"107",1.170522,130.176179,1.557333,0.892804,1.121888,1.462756,1.46154,92.9999256719476
"108",1.172088,130.049363,1.564127,0.894566,1.135822,1.469634,1.464762,93.3070794447959
"109",1.17498,130.047,1.563434,0.894555,1.13824,1.4713,1.461017,93.3396977260821
"110",1.175286,129.994816,1.564954,0.89443,1.138829,1.471844,1.462474,93.3686522474761
"111",1.176936,130.015859,1.56928,0.894952,1.13933,1.47463,1.468664,93.5135114459054
"112",1.181516,130.309092,1.578351,0.89413,1.141326,1.478378,1.477407,93.7709049822325
"113",1.183946,131.00607,1.593589,0.895384,1.146393,1.486604,1.487548,94.2132042421771
"114",1.185728,130.884455,1.598373,0.899762,1.149528,1.49373,1.492442,94.4801039759213
"115",1.182858,130.577734,1.592558,0.903225,1.147788,1.48874,1.491124,94.3772407115175
"116",1.1774,130.306484,1.586942,0.90315,1.145405,1.4847,1.489588,94.1734207365376
"117",1.17804,130.489278,1.59013,0.902998,1.145964,1.48567,1.489626,94.2338458073368
"118",1.179364,130.631464,1.599672,0.904408,1.147215,1.489181,1.49406,94.4430245469065
"119",1.178617,130.235352,1.604424,0.905614,1.147456,1.488317,1.49318,94.4408919355291
"120",1.174322,129.08532,1.60292,0.903542,1.13422,1.490018,1.490666,94.0827861162316
"121",1.174539,128.797479,1.612286,0.90442,1.132899,1.490092,1.49395,94.1587482346174
"122",1.179018,128.601345,1.616463,0.907649,1.133798,1.497686,1.498567,94.4007222281985
"123",1.182224,129.066897,1.615886,0.908672,1.138154,1.497542,1.498344,94.5426064976824
"124",1.18228,129.045157,1.616108,0.90892,1.137772,1.497613,1.498854,94.5492783545182
"125",1.179933,129.304243,1.616635,0.908722,1.142488,1.49836,1.498631,94.5972244532559
"126",1.174796,129.7345,1.616581,0.910484,1.143021,1.499134,1.497194,94.619221003945
"127",1.173485,129.787817,1.615834,0.911658,1.140131,1.490674,1.491586,94.4845748887289
"128",1.174179,128.97176,1.607336,0.911368,1.132526,1.482357,1.483984,94.1334343487994
"129",1.17449,128.25181,1.606358,0.911942,1.130916,1.483749,1.482536,94.0503685715276
"130",1.176064,128.433504,1.607662,0.913554,1.134798,1.483568,1.480018,94.1454107849011
"131",1.175644,128.529827,1.608244,0.913348,1.13491,1.482936,1.479204,94.1394070676165
"132",1.177854,128.412232,1.609057,0.914007,1.135784,1.485058,1.481973,94.2221958930143
"133",1.177596,128.807736,1.61364,0.916552,1.137442,1.486781,1.479232,94.3555015248625
"134",1.17879,128.793413,1.631134,0.920496,1.139845,1.492677,1.481844,94.6743029386243
"135",1.18006,129.011417,1.635968,0.92183,1.13894,1.494252,1.479212,94.7582930759268
"136",1.184048,129.644968,1.638909,0.92211,1.138426,1.495454,1.480092,94.9118275365081
"137",1.192476,130.395268,1.647406,0.925466,1.1387,1.503071,1.488208,95.3582630969152
"138",1.19487,130.554354,1.648908,0.925552,1.141326,1.505058,1.490452,95.4759328080356
"139",1.194667,130.380732,1.649034,0.925348,1.140655,1.503512,1.491389,95.4407466215115
"140",1.200138,130.776638,1.653548,0.927464,1.140734,1.509292,1.50035,95.7496986930565
"141",1.193194,131.342845,1.650208,0.92338,1.143752,1.502881,1.499383,95.5833144388413
"142",1.188301,131.104832,1.658214,0.92082,1.144118,1.501526,1.494852,95.4585158911681
"143",1.188792,130.940556,1.65893,0.918369,1.143228,1.494597,1.477704,95.1878407088848
"144",1.186192,130.757702,1.657875,0.915845,1.142216,1.488398,1.470462,94.9539285677784
"145",1.188043,130.388396,1.658754,0.916728,1.141072,1.492439,1.472357,95.0007889537307
"146",1.189751,130.47485,1.65938,0.919112,1.140664,1.495901,1.476014,95.1415328899187
"147",1.1904,129.9029,1.651576,0.917438,1.138966,1.491044,1.474386,94.9257549974119
"148",1.192426,129.873386,1.652304,0.914242,1.139228,1.492176,1.4691,94.8497536793951
"149",1.197656,130.265602,1.660259,0.916133,1.141668,1.493445,1.45858,94.9946778286697
"150",1.204623,129.917845,1.653712,0.914734,1.139646,1.491107,1.459724,94.9327665056948
"151",1.203692,129.790244,1.657462,0.911725,1.136692,1.494158,1.463706,94.902871805424
"152",1.201952,130.145658,1.657054,0.911171,1.13839,1.492536,1.460423,94.8796786410594
"153",1.198994,130.455708,1.652374,0.909499,1.141202,1.49142,1.454298,94.7725359347343
"154",1.195826,131.292912,1.643066,0.903077,1.146108,1.490482,1.451795,94.6345838116208
"155",1.19418,131.680159,1.643416,0.900742,1.148332,1.490618,1.453501,94.6451459766751
"156",1.189264,131.392838,1.645399,0.894239,1.147534,1.487889,1.44897,94.363842690945
"157",1.193777,132.196616,1.642785,0.883262,1.147288,1.491518,1.45361,94.3137038295538
"158",1.1945,132.433844,1.636263,0.8789,1.14683,1.492762,1.456968,94.2403145434068
"159",1.193963,132.627974,1.63779,0.879177,1.1467,1.492607,1.455665,94.2580635995845
"160",1.194682,133.052954,1.639654,0.882188,1.147808,1.495089,1.46018,94.4589148988927
"161",1.19831,133.688606,1.641819,0.886697,1.15287,1.498949,1.47229,94.8633955795996
"162",1.197528,133.69819,1.62844,0.885258,1.153744,1.489859,1.470984,94.6482670875524
"163",1.191141,133.954628,1.62802,0.880744,1.157334,1.497539,1.469812,94.5878409917525
"164",1.196056,133.963893,1.63479,0.882748,1.158975,1.504004,1.472692,94.8321006022858
"165",1.195,133.8094,1.628177,0.884825,1.15835,1.50121,1.473919,94.7811110977085
"166",1.191761,133.807364,1.630464,0.882839,1.156919,1.498015,1.47093,94.6520115432282
"167",1.188502,133.13928,1.63443,0.880171,1.152865,1.494716,1.466898,94.4158236048508
"168",1.181212,132.212418,1.636636,0.877689,1.144764,1.493908,1.461309,94.065835494172
"169",1.175629,132.50432,1.631514,0.876805,1.143467,1.495729,1.458182,93.9511933697507
"170",1.176666,132.57977,1.631784,0.877383,1.144047,1.50192,1.466884,94.1163602426327
"171",1.180206,132.820004,1.634885,0.880738,1.14457,1.505416,1.470038,94.3383885925364
"172",1.18145,132.617436,1.638742,0.88194,1.14408,1.497027,1.473504,94.3413273404404
"173",1.181361,132.648304,1.63838,0.881931,1.144026,1.497726,1.473456,94.3455529724838
"174",1.175238,132.525537,1.633214,0.882916,1.142404,1.502204,1.469498,94.232483354857
"175",1.173735,132.578977,1.637906,0.885845,1.144526,1.501118,1.468304,94.3185699051638
"176",1.176416,132.5286,1.640252,0.88703,1.145312,1.497126,1.467478,94.3545251471458
"177",1.173613,132.286925,1.643825,0.890995,1.146544,1.501966,1.468936,94.4715607114804
"178",1.171286,132.214046,1.651482,0.896042,1.146882,1.507702,1.471416,94.6728731411139
"179",1.173292,132.154591,1.654853,0.897826,1.147982,1.509715,1.469847,94.7665525225147
"180",1.173373,132.17303,1.655635,0.897716,1.147597,1.509895,1.470329,94.7748099569752
